Product,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,Jan - May 2018,Jan - May 2018,Jan - May 2019,Jan - May 2019
,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty
Cotton,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1245.1,1408358.3,1395.5,1585488.2,1531.3,1880854.8,1720.1,1323960.9,1345.9,1471308.4,1454.7,1260272.9,1609,1526328,1455.5,1134729.1,1123.8,733549.4,1223.9,1341243.3,1479.9,1346035.4,1435.6,1580214.2,1614.7,1733137.7,1631.4,1541170.4,1391.7,1447544.4,1332.2,1182092.5,1445.9,1826360.2,1751.9,2118247.7,1762.1,1555811.4,1643,1652985.1,1545.1,1664535.3,1308.7,739989.3,1229.9,1538867.1,1148.1,1893841.5,945,2149027.3,1246.3,2709112,1447.2,2937434.4,1148,3422750.5,1277.3,3534434.5,1398.4,3281457.6,1594.9,3016971.4,1287.8,2613323.2,1926.3,3057854.5,3004,2818355,2246.9,2782711.3,1979.2,2844038.3,2013.5,2190720.3,1614,2417331.8,1599.5,2480199.5,1785.6,3273372.3,1827.4,3590609.3,1793.9,2212171.4,1791.9,1857872.5
Soybeans,107.6,7169055.5,101.1,8014377.5,97.1,8468919.5,102.7,11954518.7,115,11538462.6,125.7,11995712.1,208.9,13220591.2,253.8,13939780.9,229.3,12496246.3,216.2,15332100.5,271.3,16195496.2,251.5,20704155.8,272.9,20890129,270,21778535.5,283.3,21830405.3,244.1,25474897.9,260.5,22704180.9,278.1,19482716.9,220.7,16889202.6,202.2,21379560.3,202.6,21592442.8,268.3,18229355.3,262.1,15042852.6,231.2,15351220.4,225.7,17520245.6,221.3,20006485,236.9,19213704,239.6,18080877,237.2,22757454,286.5,25565559,283.7,26206065,238.5,20302984,195.8,23141059,194.8,26985945,188.1,28723781,205.1,27674537,258.1,30834700,265.2,25137971,245.9,25508224,246.1,28179967,335.6,29776868,456.3,33816448,406.8,40372076,439.8,42318717,511.7,34375837,567.8,43623124.8,548,39364434.9,481.5,49566745,391.7,48151570,395.2,57796967.5,388.3,55262501.3,369.4,46182747.5,390.6,18571394.2,355.6,18102562.4
Wheat,64.1,17474272.8,61.6,16117926,60.1,12086066.8,58,17435846,61.9,16220608.9,64.1,21316986.4,108.1,37443772.6,176.5,25132390.2,166.7,30966062.9,146.2,26526958.7,113.3,23825521.6,127.1,34099456,157.7,33387848.7,178.3,35756377.9,178.6,43916712.6,163.7,40784088.8,162.1,38467354.3,153.4,42244475.7,145.4,24806607.8,122.4,24632514.3,99.4,30644902.7,120.7,40527204.7,161.2,36395412.2,139.9,27383564.1,106.5,30921640.8,132.3,33666337,130.8,35724477,132.7,30527042,168.4,32349687,202.4,30915492,162.1,25819908,137.4,26759680,125.6,28486331,121.7,27568005,131,25584536,149.5,24159075,155.9,25116943,164.1,31043525,161.1,27040457,180.7,23207914,253.5,32990625,376.1,30020862,245.2,21919981,245,27607547,339.7,32801953,317,25762627,317.6,32877336,303,25414789,264.7,21258281,223.8,23885447,223,27170635,242.2,22241028,238.7,9177987,237.1,11842334
Corn,54.2,12925630.4,48.9,14943236.5,51.8,13934072.9,56.9,14384110.7,57.6,12870855.7,55.2,22357328.8,85.2,33143776,125.9,29800968.8,132.2,33441606.7,117.3,44264028.5,101.4,40415296.7,105.1,50042607.4,117.9,59178955.8,134.7,63042414.1,144.9,54746145.7,114.4,48789227.8,134,47528537.5,143,48940474.4,118.2,44052831.6,96.4,27030135,78.7,40764925.3,109.4,46094189.7,116.6,56438732.8,115.8,52118090,110.8,44357101.9,109.4,43221694,105.4,40444950,110.4,35754858,121.7,59896135,161.1,52179591,124.3,41672880,106.6,41129349,95,51854719,93.6,47731001,94.3,47723329,102.5,47280795,110,42933660,120.8,48637740,105.3,45461830,121.9,57343380,171.8,56837895,249.9,53737407,184.1,47501791,193.9,50491095,299.2,45624490,297.4,31311818,267.5,23870743,213.8,49486886,185.9,44486714,177.5,55665384,173,52789572,178.7,69720552,176.5,29611511,181.7,23220485
